Date			MapsNum	GenTime		AvgGenTime
09.11.2024 20:43:58	27	16,44523	0,6090828
09.11.2024 20:53:04	6	4,253966	0,7089944
09.11.2024 20:53:27	15	10,60929	0,7072862
09.11.2024 20:54:12	25	16,58026	0,6632105
09.11.2024 20:54:47	25	13,90368	0,5561474
09.11.2024 20:55:39	50	28,47419	0,5694838
09.11.2024 20:56:39	50	29,87019	0,5974039
09.11.2024 20:57:40	50	30,37630	0,607526
09.11.2024 20:58:24	50	33,65251	0,6730502
09.11.2024 20:59:31	50	31,84749	0,6369497
09.11.2024 21:00:15	50	32,12812	0,6425625
09.11.2024 21:01:15	50	33,55479	0,6710959
09.11.2024 21:02:31	50	30,19784	0,6039569
09.11.2024 21:03:24	50	33,57146	0,6714292
09.11.2024 21:04:57	50	31,15480	0,6230959
09.11.2024 21:06:32	100	60,52718	0,6052718
10.11.2024 02:18:10	50	34,78586	0,6957172
10.11.2024 02:18:57	50	33,99872	0,6799744
----------------------^Przed optymalizacją----------------
10.11.2024 23:46:26	4	2,902596	0,7256489
10.11.2024 23:47:17	50	30,51437	0,6102873
